timestamp,avg_price,Binance Spot_TC,Binance Futures_TC,Bybit_TC,OKX_TC,Binance US_TC,Bitmex_TC
1753635396,,0,0,0,0,0,0
1753635397,,0,0,0,0,0,0
1753635398,,0,0,0,0,0,0
1753635400,0.24,47,33,3,0,0,0
1753635401,0.24,95,72,20,0,0,0
1753635402,0.24,47,59,59,0,0,0
1753635403,0.24,12,29,52,0,0,0
1753635404,0.24,41,154,61,0,0,0
1753635405,0.24,157,67,14,0,0,0
1753635406,0.24,24,74,20,0,0,0
1753635407,0.24,1,32,70,0,0,0
1753635408,0.24,51,40,2,0,0,0
1753635409,0.24,90,133,26,0,0,0
1753635410,0.24,85,128,29,0,0,0
1753635411,0.24,75,114,25,0,0,0
1753635412,0.24,41,34,6,0,0,0
1753635413,0.24,49,86,17,0,0,0
1753635414,0.24,32,56,160,0,0,0
1753635415,0.24,56,45,57,0,0,0
1753635416,0.24,28,125,11,0,0,0
1753635417,0.24,47,92,16,0,0,0
1753635418,0.24,3,16,3,0,0,0
1753635419,0.24,106,64,18,0,0,0
1753635420,0.24,53,47,22,0,0,0
1753635421,0.24,12,49,7,0,0,0
1753635422,0.24,19,40,6,0,0,0
1753635423,0.24,18,16,5,0,0,0
1753635424,0.24,15,40,93,0,0,0
1753635425,0.24,48,70,7,0,0,0
1753635426,0.24,14,71,93,0,0,0
1753635427,0.24,26,85,7,0,0,0
1753635428,0.24,51,53,41,0,0,0
1753635429,0.24,43,108,29,0,0,0
1753635430,0.24,21,451,7,0,0,0
1753635431,0.24,59,650,55,0,0,0
1753635432,0.24,24,35,11,0,0,0
1753635433,0.24,84,109,33,0,0,0
1753635434,0.24,34,50,20,0,0,0
1753635435,0.24,11,39,7,0,0,0
1753635436,0.24,28,69,8,0,0,0
1753635437,0.24,38,52,32,0,0,0
1753635438,0.24,32,37,28,0,0,0
1753635439,0.24,18,48,8,0,0,0
1753635440,0.24,27,18,20,0,0,0
1753635441,0.24,15,17,54,0,0,0
1753635442,0.24,2,1,3,0,0,0
1753635443,0.24,24,30,24,0,0,0
1753635444,0.24,67,23,37,0,0,0
1753635445,0.24,0,165,3,0,0,0
1753635446,0.24,22,35,12,0,0,0
1753635447,0.24,3,15,12,0,0,0
1753635448,0.24,0,42,34,0,0,0
1753635449,0.24,31,1043,17,0,0,0
1753635450,0.24,11,26,36,0,0,0
1753635451,0.24,8,30,23,0,0,0
1753635452,0.24,1,31,23,0,0,0
1753635453,0.24,7,0,9,0,0,0
1753635454,0.24,1,4,8,0,0,0
1753635455,0.24,0,19,1,0,0,0
1753635456,0.24,46,27,13,0,0,0
1753635457,0.24,47,31,10,0,0,0
1753635458,0.24,60,60,53,0,0,0
1753635459,0.24,31,70,31,0,0,0
1753635460,0.24,53,51,19,0,0,0
1753635461,0.24,56,59,130,0,0,0
1753635462,0.24,112,229,121,0,2,0
1753635463,0.24,142,145,184,0,0,0
1753635464,0.24,84,117,38,0,0,0
1753635465,0.24,29,31,181,0,0,0
1753635466,0.24,27,122,8,0,0,0
1753635467,0.24,55,150,23,0,0,0
1753635468,0.24,39,74,11,0,0,0
1753635469,0.24,15,51,7,0,0,0
1753635470,0.24,67,1088,12,0,0,0
1753635471,0.24,1,31,6,0,0,0
1753635472,0.24,227,22,15,0,0,0
1753635473,0.24,66,60,227,0,0,0
1753635474,0.24,34,161,29,0,0,0
1753635475,0.24,16,10,13,0,0,0
1753635476,0.24,42,49,30,0,0,0
1753635477,0.24,58,34,21,0,0,0
1753635478,0.24,54,59,47,0,0,0
1753635479,0.24,10,31,19,0,0,0
1753635480,0.24,65,67,16,0,0,0
1753635481,0.24,90,133,33,0,0,0
1753635482,0.24,138,150,121,0,0,0
1753635483,0.24,27,58,23,0,0,0
1753635484,0.24,44,38,33,0,0,0
1753635485,0.24,32,50,3,0,0,0
1753635486,0.24,20,66,172,0,0,0
1753635487,0.24,22,57,22,0,0,0
1753635488,0.24,10,84,12,0,0,0
1753635489,0.24,13,42,4,0,0,0
1753635490,0.24,19,70,5,0,0,0
1753635491,0.24,46,38,71,0,0,0
1753635492,0.24,41,1061,42,0,0,0
1753635493,0.24,16,37,7,0,0,0
1753635494,0.24,17,48,13,0,0,0
1753635495,0.24,20,122,30,0,0,0
1753635496,0.24,16,38,17,0,0,0
1753635497,0.24,2,28,11,0,0,0
1753635498,0.24,33,56,19,0,0,0
1753635499,0.24,26,50,24,0,0,0
1753635500,0.24,4,13,57,0,0,0
1753635501,0.24,27,32,17,0,0,0
1753635502,0.24,1,24,13,0,0,0
1753635503,0.24,2,8,46,0,0,0
1753635504,0.24,4,17,14,0,0,0
1753635505,0.24,0,15,5,0,0,0
1753635506,0.24,0,10,8,0,0,0
1753635507,0.24,13,33,12,0,0,0
1753635508,0.24,3,19,10,0,0,0
1753635509,0.24,56,120,17,0,0,0
1753635511,0.24,1,61,2,0,0,0
1753635512,0.24,9,52,11,0,0,0
1753635513,0.24,28,60,13,0,0,0
1753635514,0.24,39,1112,34,0,0,0
1753635515,0.24,3,8,16,0,0,0
1753635516,0.24,4,31,11,0,0,0
1753635517,0.24,17,17,0,0,0,0
1753635518,0.24,15,30,150,0,0,0
1753635519,0.24,18,82,11,0,0,0
1753635520,0.24,41,43,74,0,0,0
1753635521,0.24,78,61,31,0,0,0
1753635522,0.24,40,53,10,0,0,0
1753635523,0.24,15,48,14,0,0,0
1753635524,0.24,44,85,13,0,0,0
1753635525,0.24,20,37,11,0,0,0
1753635526,0.24,11,27,12,0,0,0
1753635527,0.24,10,17,2,0,0,0
1753635528,0.24,22,28,6,0,0,0
1753635529,0.24,20,1014,3,0,0,0
1753635530,0.24,30,26,14,0,0,0
1753635531,0.24,30,125,13,0,0,0
1753635532,0.24,0,11,3,0,0,0
1753635533,0.24,1,20,6,0,0,0
1753635534,0.24,16,38,4,0,0,0
1753635535,0.24,3,13,1,0,0,0
1753635536,0.24,55,68,40,0,0,0
1753635537,0.24,72,44,29,0,0,0
1753635538,0.24,1,6,7,0,0,0
1753635539,0.24,0,24,9,0,0,0
1753635540,0.24,83,60,16,0,0,0
1753635541,0.24,108,121,80,0,0,0
1753635542,0.24,62,64,25,0,0,0
1753635543,0.24,74,179,64,0,0,0
1753635544,0.24,0,26,1,0,0,0
1753635545,0.24,123,15,43,0,0,0
1753635546,0.24,37,88,15,0,0,0
1753635547,0.24,3,6,1,0,0,0
1753635548,0.24,18,57,7,0,0,0
1753635549,0.24,27,19,77,0,0,0
1753635550,0.24,16,23,10,0,0,0
1753635551,0.24,1,13,131,0,0,0
1753635552,0.24,33,56,8,0,0,0
1753635553,0.24,83,55,37,0,0,0
1753635554,0.24,20,25,1,0,0,0
1753635555,0.24,17,38,3,0,0,0
1753635556,0.24,10,2,0,0,0,0
1753635557,0.24,7,23,16,0,0,0
1753635558,0.24,19,54,5,0,0,0
1753635559,0.24,16,21,20,0,0,0
1753635560,0.24,9,30,92,0,0,0
1753635561,0.24,29,70,20,0,0,0
1753635562,0.24,1,3,4,0,0,0
1753635563,0.24,13,37,6,0,0,0
1753635564,0.24,22,7,2,0,0,0
1753635565,0.24,11,34,2,0,0,0
1753635566,0.24,11,19,73,0,0,0
1753635567,0.24,35,24,7,0,0,0
1753635568,0.24,1,3,5,0,0,0
1753635569,0.24,52,80,39,0,0,0
1753635570,0.24,52,80,5,0,0,0
1753635571,0.24,19,40,20,0,0,0
1753635572,0.24,31,48,12,0,0,0
1753635573,0.24,10,12,1,0,0,0
1753635574,0.24,22,24,7,0,0,0
1753635575,0.24,36,69,4,0,0,0
1753635576,0.24,40,92,30,0,0,0
1753635577,0.24,48,71,50,0,0,0
1753635578,0.24,21,26,0,0,0,0
1753635579,0.24,10,50,0,0,0,0
1753635580,0.24,19,56,9,0,0,0
1753635581,0.24,0,0,2,0,0,0
1753635582,0.24,23,28,17,0,0,0
1753635583,0.24,39,17,2,0,0,0
1753635584,0.24,28,46,21,0,0,0
1753635585,0.24,73,9,4,0,0,0
1753635586,0.24,7,26,21,0,0,0
1753635587,0.24,6,17,5,0,0,0
1753635588,0.24,4,21,6,0,0,0
1753635589,0.24,1,20,6,0,0,0
1753635590,0.24,0,29,5,0,0,0
1753635591,0.24,10,1,5,0,0,0
1753635592,0.24,46,43,22,0,0,0
1753635593,0.24,22,20,17,0,0,0
1753635594,0.24,41,58,57,0,0,0
1753635595,0.24,0,6,16,0,0,0
1753635596,0.24,0,26,4,0,0,0
1753635597,0.24,7,12,2,0,0,0
1753635598,0.24,0,13,2,0,0,0
1753635599,0.24,11,15,61,0,0,0
1753635600,0.24,111,122,145,0,0,0
1753635601,0.24,23,87,41,0,0,0
1753635602,0.24,49,86,23,0,0,0
1753635603,0.24,2,39,4,0,0,0
1753635604,0.24,9,37,12,0,0,0
1753635605,0.24,29,49,4,0,1,0
1753635606,0.24,53,105,30,0,0,0
1753635607,0.24,42,62,18,0,0,0
1753635608,0.24,15,30,9,0,0,0
1753635609,0.24,2,31,12,0,0,0
1753635610,0.24,68,74,37,0,0,0
1753635611,0.24,28,35,17,0,0,0
1753635612,0.24,4,10,7,0,0,0
1753635613,0.24,18,41,38,0,0,0
1753635614,0.24,14,43,4,0,0,0
1753635615,0.24,26,60,13,0,0,0
1753635616,0.24,4,42,17,0,0,0
1753635617,0.24,9,36,5,0,0,0
1753635618,0.24,70,74,56,0,0,0
1753635619,0.24,0,4,38,0,0,0
1753635620,0.24,15,29,10,0,0,0
1753635621,0.24,3,33,9,0,0,0
1753635622,0.24,17,46,5,0,0,0
1753635623,0.24,10,30,16,0,0,0
1753635624,0.24,7,20,2,0,0,0
1753635625,0.24,5,53,6,0,0,0
1753635626,0.24,14,23,9,0,0,0
1753635627,0.24,34,28,48,0,0,0
1753635628,0.24,18,20,39,0,0,0
1753635630,0.24,33,68,41,0,0,0
1753635631,0.24,88,71,31,0,0,0
1753635632,0.24,6,23,21,0,0,0
1753635633,0.24,14,78,45,0,0,0
1753635634,0.24,57,25,2,0,0,0
1753635635,0.24,60,30,52,0,0,0
1753635636,0.24,23,8,4,0,0,0
1753635637,0.24,20,70,139,0,0,0
1753635638,0.24,32,53,4,0,1,0
1753635639,0.24,44,69,31,0,0,0
1753635640,0.24,143,112,121,0,0,0
1753635641,0.24,114,130,102,0,0,0
1753635642,0.24,1,54,18,0,0,0
1753635643,0.24,1,23,13,0,0,0
1753635644,0.24,2,24,9,0,0,0
1753635645,0.24,54,71,45,0,0,0
